sample	type	old_group	mapped	mapped_q30	new_group	age	period	neolithic	status	internal	external
GL951	Lib	1	60.53574379	39.40803862	1		Modern		Wild		
AA288	Lib	2	55.824865825	36.82800817	1	6,361 ± 66 [5471-5222] cal BC	Neolithic (Cardial)	W	Wild	44.482	4.324
AA451	Lib	1	63.77147602	35.97275945	1	850-1250	Norse Period	N	Domestic	1	34
AA479	Lib	1	49.01909722	31.31540498	1	~5000 BC	Neolithic	W	Wild?	36	
KD032	Lib	2	44.94910532	27.03788116	2	7,300 - 6,950BP	Neolithic	Y	Domestic		
GL946	Lib	2	56.85927414	20.79577001	2		Modern		Wild		
GL949	Lib	3	33.292385350000004	17.45554218	2		Modern		Unknown		
AA511	Lib	3	25.36507136	15.616014	2	1800 BC to 200 AD	Roman - Middle Ages	N		7	38
AA072	Lib	4	24.803081759999998	15.058224505	3	mid 5th - mid 4th millennium BC	Chalcolithic	N	Domestic	4	25
AA507	Lib	3	23.44466332	14.60193116	3	1800 BC to 200 AD - bulk is 1500 BC	Roman - Middle Ages	W	Wild?	3	38
AA304	Lib	9	28.28019895	14.519343674000002	3	1st-5th cent AD	Roman	N	Domestic	1	42
LG507	Lib	3	17.55839332	12.24256485	3	3200-600 BC		W	Wild	11	36
AA301	Lib	8	16.05950207	11.655849358	4	1st-5th cent AD	Roman	N	Domestic	11	41
AA483	Lib	9	17.430023894	11.114246714	4	~5000 BC	Neolithic	Y		6	36
GL464	Lib	4	25.50970118	10.2082901	4	14th-15th cent. AD		W	Wild	10	41
AA341	Lib	4	15.56051495	9.325425182	4	5500-4600 BC	Neolithic	Y	Domestic	11	44
AA512	Lib	5	13.0127667	7.464448497	5	1800 BC to 200 AD	Roman - Middle Ages	N		8	38
AA302	Lib	15	16.693584375	6.0743735475000005	5	1st-5th cent AD	Roman	N	Domestic	12	41
AA480	Lib	20	8.488565419	5.500620806500001	5	~5000 BC	Neolithic	Y		3	36
AA382	Lib	13	9.7444839135	5.39385035275	5	~5000 BC	Neolithic	Y		11	47
AA513	Lib	6	8.876309653	5.370238224	6	1800 BC to 200 AD	Roman - Middle Ages	N		9	38
AA411	Lib	6	8.996199069	4.866328017	6	1000-1250	Norse Period	N	Domestic	13	49
AA447	Lib	7	7.659922409	4.818983664	6	850-1250	Norse Period	N	Domestic	10	33
GL496	Lib	9	18.87806329	4.807680389	6	10th cent. AD		W	Wild?	12	41
AA343	Lib	7	7.346710969	4.389582344	7	5500-4600 BC	Neolithic	Y	Domestic	13	44
AA414	Lib	7	6.416133581	4.295953537	7	1000-1250	Norse Period	N	Domestic	3	50
AA440	Lib	7	6.207442779	4.187625815	7	1000-1250	Norse Period	N	Domestic	3	33
AA424	Lib	8	6.8629963510000005	4.09469971625	7	~5000-4500 BC	Neolithic	Y	Domestic	12	50
AA266	Lib	16	6.988975023	4.08955584	8	late 2nd - early 1st century BC	Late Iron Age	N	Domestic	3	39
AA415	Lib	8	5.64311836925	4.08745010425	8	850-1000	Norse Period	N	Domestic	4	50
AA346	Lib	8	6.074708129	3.903541562	8	5500-4600 BC	Neolithic	Y	Domestic	3	45
AA241	Lib	12	7.000352624	3.3743600655000003	8	OS (~6000-5500 BC cal)	Late mesolithic	N	Wild		
AA376	Lib	18	5.8464621690000005	3.28853033425	9	~5000 BC	Neolithic	Y		5	47
AA372	Lib	17	5.6312142315000004	3.106859757	9	?	Neolithic	Y		2	47
AA433	Lib	11	5.104478375	2.997007596	9	1000-1250	Norse Period	N	Domestic	9	32
GL723	Lib	10	7.778432528	2.971630609	9	9th cent AD		W	Wild	9	45
AA354	Lib	20	5.26454740375	2.9405967742500003	10	8000-7000CalBP	Mesolithic	W	Wild	10	45
AA380	Lib	11	4.967426898	2.77660636	10	~5000 BC	Neolithic	Y		9	47
AA489	Lib	21	4.3952398185	2.6995323995000002	10	~5000 BC	Neolithic	Y		12	36
AA285	Lib	21	12.837824195	2.4318358105	10		Late Roman/Early Medieval	N		8	40
AA476	Lib	22	3.708872237	2.3601802515	11	~5000 BC	Neolithic	Y		12	35
AA418	Lib	12	4.424297989	2.216920523	11	1000-1250	Norse Period	N	Domestic	7	50
LG166	Lib	13	2.919585598	2.069511904	11	7692±99 cal. BC		W	Wild	6	44
AA385	Lib	17	3.8411268817499997	1.9771559155	11	4700 – 4500 cal BC		Y		13	47
AA016	Lib	22	2.9606097814999996	1.919019499	12	c. AD 1000	early Medieval	N	Domestic	4	21
AA074	Lib	20	4.215769355	1.8331663925	12	29th/28th century BC	Neolithic	W	Wild	6	25
AA271	Lib	20	3.28245769	1.6997348055	12	?		N		8	39
AA358	Lib	21	9.090035207	1.583696815	12	9th millennium cal BC	Middle Mesolithic	W	Wild	1	46
AA420	Lib	15	2.759441403	1.489917632	13	~5000-4500 BC	Neolithic	Y		8	50
AA245	Lib	18	3.605228687	1.436425575	13	OS (~6000-5500 BC cal)	Mesolithic	N	Wild	8	37
LG423	Lib	14	2.180255989	1.418979914	13	4500-3600 cal. BC		W	Wild	7	36
AA294	Lib	22	2.413845575	1.4126277185	13	5300 to 5100 cal BC	Neolithic	Y		3	41
AA378	Lib	15	2.414260418	1.342745839	14	~5000 BC	Neolithic	Y		7	47
AA084	Lib	22	2.7457125739999997	1.2823600405	14	300-400 AD	Epoque Roman	N	Domestic	1	26
AA407	Lib	18	2.704244219	1.103308618	14		Roman	N	Domestic	9	49
AA014	Lib	23	3.5744947107500002	1.025097532	14	5400-4500 BC	Late meso (early part)	W	Wild	2	21
AA425	Lib	19	1.835153846	0.920946386	15	~5000-4500 BC	Neolithic	Y		13	50
AA457	Lib	-	1.940259181	0.9092101575	15	Beta-129332, 9225-9310	Mesolithic	W	Wild	6	34
AA356	Lib	-	2.6809451875	0.8584574217500001	15		Chalcolithic (post- Neolithic)	N		12	45
AA013	Lib	24	2.061921785	0.8555364675	15	1000-500 BC	Late bronze age	N	Domestic	1	21
AA357	Lib	21	1.450982662	0.764510293	16	9th millennium cal BC	Middle Mesolithic	W	Wild	13	45
AA350	Lib	-	2.2829756083999997	0.7220697292	16	8000-7000CalBP	Mesolithic	W	Wild	6	45
AA453	Lib	23	2.615977276	0.718814062	16	?		N		3	34
AA408	Lib	24	2.16707666675	0.6645284284999999	16	2/3rd AD		N		10	49
AA417	Lib	23	1.145958308	0.644496101	17	850-1000	Norse Period	N	Domestic	6	50
AA379	Lib	24	1.803067958	0.610163682	17	6683 +/- 37	Neolithic	Y		8	47
VEM184	Lib	23	2.730780647	0.593647967	17		Neo/Bronze Transition	Y		None	22
LG426	Lib	24	0.931027808	0.517452739	17	4500-3600 cal. BC		W	Wild	8	36
GL948	Ext	2	81.4254458	61.58380801	18		Modern		Unknown		
GL945	Ext	5	82.97471608	51.57705178	18		Modern		Wild		
BLT024	Ext	1	56.69706724	36.83282666	18		Mesolithic	W	Wild		
AA212	Ext	5	31.17748882	14.20573116	18	second half of the 6th millennium BC	Copper Age?	N		2	35
AA139	Ext	10	22.28261108	11.1546259	19	2500 cal. BC?	Neolithic	Y	Domestic	2	30
BLT014	Ext	5	13.98445332	6.728628134	19		Neolithic	Y	Metric Domestic		
AA442	Ext	11	10.88763026	4.797488029	19	1000-1250	Norse Period	N	Domestic	5	33
AA129	Ext	10	11.34891735	3.752661023	19		Middle Neolithic	Y		5	29
AA211	Ext	13	14.37297956	3.616934186	20	second half of the 6th millennium BC	Copper Age?	N		1	35
AA141	Ext	13	9.187730077	2.953110457	20	5th Millennium BC?		W	Wild	4	30
AA157	Ext	6	9.036145962	2.910705552	20	Mid 5th Millennium BC	Neolithic	W	Wild	7	31
AA217	Ext	18	13.48225606	2.827453839	20	second half of the 6th millennium BC	Copper Age?	N		7	35
GL454	Ext	6	10.25018365	2.673857731	21	2,600-1,800 BC cal?	Chalcolithic/Early Bronze	N	Wild?	9	41
AA443	Ext	12	7.566476194	2.663973385	21	850-1250	Norse Period	N	Domestic	6	33
GL128	Ext	11	28.17556285	2.633996606	21	9th-8th mil BC cal	Mesolithic	W	Wild	12	37
AA137	Ext	17	9.311264787	2.607872931	21	2500 cal. BC?	Neolithic	Y	Domestic	13	29
AA149	Ext	19	10.48983905	2.594975143	22	5th Millennium BC?	Neolithic	W	Wild	12	30
BLT010	Ext	9	9.43509855	2.419697234	22	5318-5078 cal. BC	Neolithic	Y	Domestic		
GL126	Ext	16	41.51677651	2.384724382	22	6th millennium BC		W	Wild	11	37
GL527	Ext	12	32.36075706	2.351867097	22	1st-5th cent AD	Roman	W	Wild	13	41
GL470	Ext	14	30.49021161	2.203833163	23	c.4,200-3,500 BC cal	Mid Neolithic	W	Wild	11	41
BLT027	Ext	19	12.98725855	1.772072656	23		Mesolithic	W	Wild		
GL333	Ext	14	22.27281545	1.564241681	23	2,600-1,800 BC cal?	Chalcolithic/Early Bronze	W	Wild	2	41
BLT009	Ext	14	12.61761956	1.532008809	23	6200 BC?	Neolithic	W	Wild		
AA213	Ext	15	9.791690093	1.41262791	24	second half of the 6th millennium BC	Copper Age?	N		3	35
GL210	Ext	19	4.068402092	1.395364175	24	8435-8645 cal BC		W	Wild	13	37
GL438	Ext	17	21.21772406	1.351557529	24	14th-15th cent. AD		W	Wild	8	41
BLT006	Ext	16	9.180646992	1.20556032	24	8249-7964 cal. BC	Mesolithic	W	Wild		
