Order,Accession,Status,Bin,Avg_q30,Avg_qual,Library,Extract
1,BLT024,Wild,6500 - 6000,45.96,40.43,,
2,GL951,Wild,500 - 0,39.41,37.71,,
3,AA451,Domestic,1000 - 500,35.97,35.09,,
4,AA479,Wild,7000 - 6500,31.32,30.73,,
5,KD032,Domestic,7500 - 7000,27.04,27.04,,
6,GL948,NA,500 - 0,22.94,22.83,,
7,GL946,Wild,500 - 0,20.80,19.65,,
8,AA288,Domestic,7500 - 7000,36.83,19.58,,
9,VEM184,Domestic,5000 - 4500,15.98,15.69,,
10,AA511,NA,1000 - 500,15.62,15.20,,
11,GL949,NA,500 - 0,17.46,14.95,,
12,AA507,Wild,5000 - 4500,14.60,14.23,,
13,VEM183,Domestic,5000 - 4500,13.61,13.57,,
14,LG507,Wild,3000 - 2500,12.24,12.19,,
15,LG411_R1,Wild,8000 - 7500,9.50,9.47,,
16,AA341,Domestic,1000 - 500,9.33,8.73,,
17,AA072,Domestic,6000 - 5500,15.06,7.88,,
18,GL464,Wild,1000 - 500,10.21,7.53,,
19,AA512,NA,4000 - 3500,7.46,7.30,,
20,AA212,NA,7000 - 6500,6.78,6.72,,
21,GL945,Wild,500 - 0,6.37,6.31,,
22,BLT014,Domestic,6500 - 6000,6.93,6.15,,
23,AA157,Wild,6500 - 6000,5.56,5.36,,
24,AA513,NA,5500 - 5000,5.37,5.30,,
25,AA411,Domestic,1000 - 500,4.87,4.81,,
26,GL454,Wild,4500 - 4000,7.57,4.79,,
27,AA447,Domestic,1000 - 500,4.82,4.38,,
28,AA343,Domestic,1000 - 500,4.39,4.33,,
29,AA414,Domestic,1000 - 500,4.30,4.26,,
30,AA440,Domestic,1000 - 500,4.19,4.14,,
31,AA301,Domestic,2000 - 1500,11.66,4.02,,
32,AA415,Domestic,1500 - 1000,4.09,3.90,,
33,AA424,Domestic,6500 - 6000,4.09,3.90,,
34,AA346,Domestic,NULL,3.90,3.86,,
35,BLT010,Domestic,7500 - 7000,4.19,3.73,,
36,AA304,Domestic,2000 - 1500,14.52,3.68,,
37,AA483,NA,7000 - 6500,11.11,3.58,,
38,GL496,Wild,1500 - 1000,4.81,3.18,,
39,AA248,NA,6000 - 5500,7.96,3.13,,
40,AA129,NA,5500 - 5000,6.04,3.13,,
41,AA139,Domestic,1000 - 500,3.07,2.99,,
42,GL723,Wild,1500 - 1000,2.97,2.79,,
43,AA442,Domestic,1000 - 500,23.05,2.75,,
44,AA380,Wild,7000 - 6500,2.78,2.74,,
45,AA433,Domestic,1000 - 500,3.00,2.67,,
46,GL128,Wild,NULL,2.63,2.51,,
47,AA241,Wild,8000 - 7500,3.37,2.29,,
48,AA443,Domestic,1000 - 500,28.01,2.21,,
49,AA418,Domestic,1000 - 500,2.22,2.18,,
50,GL527,Wild,2000 - 1500,2.91,2.18,,
51,AA141,Wild,6500 - 6000,2.19,2.08,,
52,LG166,Wild,10000 - 9500,2.07,2.06,,
53,AA382,Wild,7000 - 6500,5.39,1.99,,
54,AA211,NA,7000 - 6500,5.67,1.89,,
55,BLT009,Wild,8000 - 7500,1.94,1.73,,
56,GL470,Wild,6000 - 5500,2.82,1.63,,
57,GL333,Wild,4500 - 4000,2.31,1.56,,
58,LG423,Wild,6500 - 6000,1.42,1.41,,
59,AA420,Domestic,6500 - 6000,1.49,1.39,,
60,AA302,Domestic,2000 - 1500,6.07,1.39,,
61,AA213,Domestic,7000 - 6500,6.38,1.38,,
62,AA378,Wild,7000 - 6500,1.34,1.33,,
63,BLT006,Wild,10500 - 10000,1.45,1.31,,
64,AA381,Wild,7000 - 6500,2.43,1.29,,
65,AA266,Domestic,2500 - 2000,4.09,1.19,,
66,GL429,Wild,6500 - 6000,1.73,1.18,,
67,GL126,Wild,7500 - 7000,1.21,1.17,,
68,GL38,Wild,4500 - 4000,1.74,1.14,,
69,AA137,Domestic,2500 - 2000,1.15,1.13,,
70,AA385,Domestic,7000 - 6500,1.98,1.11,,
71,AA372,Wild,7000 - 6500,3.11,1.11,,
72,GL438,Wild,1000 - 500,1.50,1.08,,
73,AA376,Wild,7000 - 6500,3.29,1.06,,
74,AA407,Domestic,2000 - 1500,1.10,1.03,,
75,AA245,Wild,8000 - 7500,1.44,0.97,,
76,AA217,Domestic,7000 - 6500,5.16,0.94,,
77,BLT027,Wild,6500 - 6000,1.04,0.93,,
78,GL210,Wild,10500 - 10000,1.01,0.91,,
79,AA425,Domestic,6500 - 6000,0.92,0.90,,
80,AA149,Wild,1000 - 500,1.03,0.90,,
81,GL321,Wild,6000 - 5500,1.39,0.89,,
82,BLT007,Wild,NULL,0.98,0.88,,
83,GL980,Wild,11000 - 10500,1.07,0.87,,
84,AA179,Domestic,6500 - 6000,3.69,0.87,,
85,AA271,Domestic,5500 - 5000,1.70,0.86,,
86,AA480,NA,7000 - 6500,5.50,0.82,,
87,AA354,Wild,8000 - 7500,2.94,0.81,,
88,AA068,Domestic,6500 - 6000,1.81,0.81,,
89,BLT025,Wild,9000 - 8500,0.89,0.80,,
90,AA216,Domestic,7000 - 6500,3.66,0.80,,
91,AA074,Wild,5000 - 4500,1.83,0.78,,
92,AA357,Wild,10500 - 10000,0.76,0.75,,
93,BLT013,Domestic,6500 - 6000,0.83,0.74,,
94,AA489,NA,7000 - 6500,2.70,0.70,,
95,BLT023,Domestic,8000 - 7500,0.79,0.70,,
96,AA169,Domestic,6500 - 6000,0.72,0.69,,
97,AA285,Domestic,2000 - 1500,2.43,0.68,,
98,AA358,Wild,10500 - 10000,1.58,0.67,,
99,GL372,Wild,1000 - 500,1.01,0.67,,
100,GL37,Wild,4500 - 4000,1.01,0.67,,