Population,Sample,Species,Bioproject,biosample,group_a,group_b,Site,Location,Alias,BP_max,BP_min,BP_median,Age ,Period,Lat,Long,Sex,reference,Path
DOM2,Berel_BER06_F,horse,PRJEB19970,SAMEA103910515,,Scythian,Berel',Kazakhstan,Berel_BER06_F_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/F_Ch26_CGG_1_016173.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER07_G,horse,PRJEB19970,SAMEA103910516,,Scythian,Berel',Kazakhstan,Berel_BER07_G_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/G_Ch82_CGG_1_016174.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER08_H,horse,PRJEB19970,SAMEA103910517,,Scythian,Berel',Kazakhstan,Berel_BER08_H_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/H_Ch78_CGG_1_016175.Horse_nuc_wY.realigned.r.t.t.bam
DOM2,Berel_BER09_I,horse,PRJEB19970,SAMEA103910518,,Scythian,Berel',Kazakhstan,Berel_BER09_I_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/I_Ch118_CGG_1_016176.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER10_K,horse,PRJEB19970,SAMEA103910519,,Scythian,Berel',Kazakhstan,Berel_BER10_K_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/K_Ch137_CGG_1_016177.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER11_L,horse,PRJEB19970,SAMEA103910520,,,Berel',Kazakhstan,Berel_BER11_L_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/L_Ch102_CGG_1_016178.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berel_BER12_M,horse,PRJEB19970,SAMEA103910521,,Scythian,Berel',Kazakhstan,Berel_BER12_M_2300,,,2233,2300,Iron Age,49.3737353,86.4272922,male,Librado_et_al_2017,/home/ludo/inbox/BAMs/ancient/M_Ch112_CGG_1_016179.Horse_nuc_wY.realigned.r.t.bam
DOM2,Berufjordur_VHR102,horse,PRJEB31613,SAMEA5408164,,Viking,Berufjordur,Iceland,Berufjordur_VHR102_1057,1150,850,1000,917-1217,Middle Ages,65.53,-22.117,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR102_CGG_1_020961_i54_ACCATC_U.r.t.3p1.bam
DOM2,Boves_GVA191,horse,PRJEB31613,SAMEA5408174,,Gallo-roman,"Boves, chemin de Glisy",France,Boves_GVA191_1717,1750,1550,1650,1617-1817,Roman period,49.8534339,2.3969306,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA191_CGG_1_019765.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,BozAdyr_KYRH10,horse,PRJEB31613,SAMEA5408175,,,Boz-Adyr,Kyrgyzstan,BozAdyr_KYRH10_1267,,,1150,1217,Middle Ages,39.9983333,71.0733333,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/KYRH10_CGG_1_018031.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,BozAdyr_KYRH8,horse,PRJEB31613,SAMEA5408176,,,Boz-Adyr,Kyrgyzstan,BozAdyr_KYRH8_1267,,,1150,1217,Middle Ages,39.9983333,71.0733333,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/KYRH8_CGG_1_018029.Horse_nuc_wY.realigned.r.t.m.5p2.3p1.bam
DOM2,BroughOfDeerness_VHR010,horse,PRJEB31613,SAMEA5408177,,Pictish,Brough Of Deerness,United Kingdom,BroughOfDeerness_VHR010_1417,1450,1250,1350,1317-1517,Middle Ages,58.964099,-2.704933,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR010_CGG_1_020949_i74_GTGGGG_U.r.t.s.5p1.3p2.bam
DOM2,BroughOfDeerness_VHR011,horse,PRJEB31613,SAMEA5408178,,Pictish,Brough Of Deerness,United Kingdom,BroughOfDeerness_VHR011_1367,1350,1250,1300,1317-1417,Middle Ages,58.964099,-2.704933,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR011_CGG_1_020950_i76_TCAGCT_U.r.t.bam
DOM2,BroughOfDeerness_VHR037,horse,PRJEB31613,SAMEA5408179,,Pictish,BroughOfDeerness,United Kingdom,BroughOfDeerness_VHR037_1417,1450,1250,1350,1317-1517,Middle Ages,58.964099,-2.704933,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR037_CGG_1_020957_i60_ATTAAA_U.r.t.5p2.3p1.bam
DOM2,BroughOfDeerness_VHR062,horse,PRJEB31613,SAMEA5408180,,Pictish,BroughOfDeerness,United Kingdom,BroughOfDeerness_VHR062_1417,1450,1250,1350,1317-1517,Middle Ages,58.964099,-2.704933,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/VHR062_CGG_1_020959_i75_TAGTAA_U.r.t.3p1.bam
DOM2,Bruszcewo_Bru4,horse,PRJEB31613,SAMEA5408181,,,Bruszcewo,Poland,Bruszcewo_Bru4_3917,4150,3550,3850,3617-4217,Bronze Age,52.007,16.562,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Bru4_CGG_1_018376.Horse_nuc_wY.realigned.r.t.s.m.bam
DOM2,CaminoDeLasYeseras_CdY2,horse,PRJEB31613,SAMEA5408182,,pre Bell-Beaker,"Camino de las Yeseras, Madrid",Spain,CaminoDeLasYeseras_CdY2_4678,4794,4429,4612,4496-4861,Copper Age,40.4421,-3.49408,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/CdY2_CGG_1_018391.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,Cantorella_UE2275x2,horse,PRJEB31613,SAMEA5408183,,,Cantorella,Spain,Cantorella_UE2275x2_4791,,,4724,4791,Copper Age,41.552778,1.039444,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/UE2275x2_CGG_1_020989.Horse_nuc_wY.realigned.r.t.s.m.5p5.3p5.s.bam
DOM2,Capesterre_LIS2,horse,PRJEB31613,SAMEA5408184,,,Capesterre-Belle-Eau,Guadeloupe (France),Capesterre_LIS2_417,450,250,350,317-517,Early Modern period,16.049578,-61.569156,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/LIS2_Tr19_i8_ACTTGA_U.r.t.5p1.bam
DOM2,Capote_Cap102,horse,PRJEB31613,SAMEA5408185,,,Capote,Spain,Capote_Cap102_2167,2150,2050,2100,2117-2217,Iron Age,38.0982811,-6.693194,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Cap102_CGG_1_016984.Horse_nuc_wY.realigned.r.t.s.m.bam
DOM2,Charregass_NBxRa849,horse,PRJEB31613,SAMEA5408186,,,Steim am Rhein Charregass,Switzerland,Charregass_NBxRa849_1667,1650,1550,1600,1617-1717,Roman period,47.65,8.85,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/NB_Ra_8_49_CGG_1_020509_i69_GATGCA_U.r.t.5p1.3p2.bam
DOM2,Chartres_GVA1,horse,PRJEB31613,SAMEA5408187,,,"Chartres, boulevard de la Courtille",France,Chartres_GVA1_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA1_CGG_1_019259_i52_U_AAACAA.r.t.bam
DOM2,Chartres_GVA111,horse,PRJEB31613,SAMEA5408188,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA111_1917,,,1850,1917,Roman period,48.442396,1.494154,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA111_CGG_1_019369_i74_GTGGGG_U.r.t.5p2.3p1.bam
DOM2,Chartres_GVA112,horse,PRJEB31613,SAMEA5408189,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA112_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA112_CGG_1_019370_i11_GGCTAC_U.r.t.bam
DOM2,Chartres_GVA115,horse,PRJEB31613,SAMEA5408190,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA115_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA115_CGG_1_019373_i13_CTATCA_U.r.t.5p1.3p1.bam
DOM2,Chartres_GVA26,horse,PRJEB31613,SAMEA5408192,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA26_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA26_CGG_1_019284.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,Chartres_GVA28,horse,PRJEB31613,SAMEA5408193,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA28_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA28_CGG_1_019286_i2_CGATGT_U.r.t.bam
DOM2,Chartres_GVA36,horse,PRJEB31613,SAMEA5408194,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA36_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA36_CGG_1_019294.Horse_nuc_wY.realigned.r.t.m.1.3p.1.5p.1.3p.bam
DOM2,Chartres_GVA4,horse,PRJEB31613,SAMEA5408196,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA4_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA4_CGG_1_019262.Horse_nuc_wY.realigned.r.t.m.5p2.3p1.bam
DOM2,Chartres_GVA43,horse,PRJEB31613,SAMEA5408197,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA43_1917,,,1850,1917,Roman period,48.442396,1.494154,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA43_CGG_1_019301.Horse_nuc_wY.realigned.r.t.m.5p2.3p1.s.bam
DOM2,Chartres_GVA47,horse,PRJEB31613,SAMEA5408198,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA47_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA47_CGG_1_019305_i56_U_AGGGGA.r.t.3p1.bam
DOM2,Chartres_GVA48,horse,PRJEB31613,SAMEA5408199,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA48_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA48_CGG_1_019306_i57_U_ATACCT.r.t.bam
DOM2,Chartres_GVA53,horse,PRJEB31613,SAMEA5408200,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA53_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA53_CGG_1_019311_i71_GCTAGC_U.r.t.5p1.bam
DOM2,Chartres_GVA56,horse,PRJEB31613,SAMEA5408201,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA56_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA56_CGG_1_019314.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,Chartres_GVA60,horse,PRJEB31613,SAMEA5408202,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA60_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA60_CGG_1_019318_i72_GGGCCG_U.r.t.5p1.3p2.bam
DOM2,Chartres_GVA75,horse,PRJEB31613,SAMEA5408206,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA75_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA75_CGG_1_019333_i75_TAGTAA_U.r.t.5p1.bam
DOM2,Chartres_GVA81,horse,PRJEB31613,SAMEA5408208,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA81_1917,,,1850,1917,Roman period,48.442396,1.494154,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA81_CGG_1_019339.Horse_nuc_wY.realigned.r.t.m.5p2.bam
DOM2,Chartres_GVA9,horse,PRJEB31613,SAMEA5408209,,Galllo-roman,"Chartres, boulevard de la Courtille",France,Chartres_GVA9_1917,,,1850,1917,Roman period,48.442396,1.494154,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA9_CGG_1_019267_i5_ACAGTG_U.r.t.s.bam
DOM2,Dariali_Georgia2,horse,PRJEB31613,SAMEA5408211,,,"Dariali, Tamara Fort",Georgia,Dariali_Georgia2_317,550,-50,250,17-617,Early Modern period,42.74016371,44.62016419,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Georgia2_CGG_1_020266_i13_CTATCA_U.r.t.s.3p2.bam
DOM2,Derkul_NB2,horse,PRJEB31613,SAMEA5408212,,,Derkul,Russia,Derkul_NB2_Neolithic,,,,-,Neolithic,51.16,51.17,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/NewBotai2_CGG_1_016994.Horse_nuc_wY.realigned.r.t.s.m.bam
DOM2,Derkul_NB4,horse,PRJEB31613,SAMEA5408213,,,Derkul,Russia,Derkul_NB4_Neolithic,,,,-,Neolithic,51.16,51.17,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/NewBotai_4_CGG_1_016996.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,Dunaujvaros_Duk2,horse,PRJEB22390,SAMEA104233676,,,Dunaújváros,Hungary,Dunaujvaros_Duk2_4077,,,4010,4077,Bronze Age,46.9619059,18.9355227,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Duk2_CGG_1_018386.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,ElAcequion_Spain38,horse,PRJEB31613,SAMEA5408214,,,El Acequión,Spain,ElAcequion_Spain38_4058,,,3991,4058,Bronze Age,39.024444,-2.028056,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Spain38_CGG_1_020484.Horse_nuc_wY.realigned.r.t.5p1.3p2.bam
DOM2,ElAcequion_Spain39,horse,PRJEB31613,SAMEA5408215,,,El Acequión,Spain,ElAcequion_Spain39_3993,,,3926,3993,Bronze Age,39.024444,-2.028056,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Spain39_CGG_1_020485.Horse_nuc_wY.realigned.r.t.5p1.s.bam
DOM2,ElsVilars_UE4618,horse,PRJEB31613,SAMEA5408216,,,Els Vilars,Spain,ElsVilars_UE4618_2672,,,2605,2672,Iron Age,41.57,0.95,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/UE4618_CGG_1_020962.Horse_nuc_wY.realigned.r.t.s.m.t.bam
DOM2,Evreux_GVA133,horse,PRJEB31613,SAMEA5408219,,Gallo-roman,"Evreux, Clos-au-Duc",France,Evreux_GVA133_1817,1850,1650,1750,1717-1917,Roman period,49.0196385,1.1589729,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA133_CGG_1_019707.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM2,Evreux_GVA135,horse,PRJEB31613,SAMEA5408220,,Gallo-roman,"Evreux, Clos-au-Duc",France,Evreux_GVA135_1817,1850,1650,1750,1717-1917,Roman period,49.0196385,1.1589729,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA135_CGG_1_019709.Horse_nuc_wY.realigned.r.t.m.5p2.31p.bam
DOM2,Evreux_GVA140,horse,PRJEB31613,SAMEA5408221,,Gallo-roman,"Evreux, Clos-au-Duc",France,Evreux_GVA140_1817,1850,1650,1750,1717-1917,Roman period,49.0196385,1.1589729,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/GVA140_CGG_1_019714.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM2,Fengtai_Fen4,horse,PRJEB31613,SAMEA5408222,,,Fengtai,China,Fengtai_Fen4_2820,,,2753,2820,Iron Age,36.8406667,101.9584722,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Fen4_CGG_1_018396.Horse_nuc_wY.realigned.r.t.s.5p2.3p2.bam
DOM2,Fmontauban_GVA126,horse,PRJEB22390,SAMEA104233677,,Gallo-roman,Fresnes-lès-Montauban,France,Fmontauban_GVA126_1872,,,1805,1872,Roman period,48.442396,1.494154,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/GVA126_CGG_1_019384.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,FrankfurtHeddenheim_Fr1,horse,PRJEB31613,SAMEA5408223,,Roman,Frankfurt-Heddenheim,Germany,FrankfurtHeddernheim_Fr1_1863,,,1796,1863,Roman period,50.1612625,8.6424693,male,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Fr1_CGG_1_018151.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,Garbovat_Gar3,horse,PRJEB22390,SAMEA104233678,,,Garbovat,Romania,Garbovat_Gar3_3574,,,3507,3574,Bronze Age,44.86699,22.0079387,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Gar3_CGG_1_018389.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,GolModII_Mon23,horse,PRJEB31613,SAMEA5408224,,Xiongnu,Gol Mod II,Mongolia,GolModII_Mon23_2007,,,1940,2007,Iron Age,48.01777778,101.3533333,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Mon23_CGG_1_018059.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM2,GolModII_Mon24,horse,PRJEB31613,SAMEA5408225,,Xiongnu,Gol Mod II,Mongolia,GolModII_Mon24_1993,,,1926,1993,Iron Age,48.01777778,101.3533333,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Mon24_CGG_1_018060.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM2,GolModII_Mon25,horse,PRJEB31613,SAMEA5408226,,Xiongnu,Gol Mod II,Mongolia,GolModII_Mon25_2011,,,1944,2011,Iron Age,48.01777778,101.3533333,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Mon25_CGG_1_018061.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM2,GolModII_Mon26,horse,PRJEB31613,SAMEA5408227,,Xiongnu,Gol Mod II,Mongolia,GolModII_Mon26_1999,1944,1921,1933,1988-2011,Iron Age,48.01777778,101.3533333,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Mon26_CGG_1_018062.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM2,GolModII_Mon27,horse,PRJEB31613,SAMEA5408228,,Xiongnu,Gol Mod II,Mongolia,GolModII_Mon27_2011,,,1944,2011,Iron Age,48.01777778,101.3533333,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Mon27_CGG_1_018063.Horse_nuc_wY.realigned.r.t.m.1.3p.bam
DOM2,GolModII_Mon28,horse,PRJEB22390,SAMEA104233679,,Xiongnu,Gol Mod II,Mongolia,GolModII_Mon28_1988,,,1921,1988,Iron Age,48.01777778,101.3533333,male,Gaunitz_et_al_2018,/home/ludo/inbox/BAMs/ancient/Mon28_CGG_1_018064.Horse_nuc_wY.realigned.r.t.m.bam
DOM2,Goyet_Vert293,horse,PRJEB31613,SAMEA5408229,,,Goyet,Belgium,Goyet_Vert293_UpperPalaeolithic,,,,-,Upper Palaeolithic,50.44667,5.00911,female,Fages_et_al_2019,/home/ludo/inbox/BAMs/ancient/Vert293_CGG_1_018522.Horse_nuc_wY.realigned.r.t.m.bam
